emissions,fips,county,period,p5,p17,p50,p83,p95
8.5,53043,Lincoln,2040-2059,8.6,11.9,19.1,27.4,32.1
8.5,53043,Lincoln,2080-2099,20,28.4,41.8,65.8,76.5
8.5,53045,Mason,1981-2010,,,0.13,,
8.5,53045,Mason,2020-2039,0.2,0.5,0.9,1.2,1.6
8.5,53045,Mason,2040-2059,0.4,0.6,1.4,2.4,2.9
8.5,53045,Mason,2080-2099,1.9,3,6.8,15.5,26.1
8.5,53047,Okanogan,1981-2010,,,7.27,,
8.5,53047,Okanogan,2020-2039,10.6,12.8,17,20.8,23.8
8.5,53047,Okanogan,2040-2059,14.1,18.2,27,35,39.1
8.5,53047,Okanogan,2080-2099,28.4,37.2,51.4,77.3,84.9
8.5,53049,Pacific,1981-2010,,,0.63,,
8.5,53049,Pacific,2020-2039,0.7,1.1,1.4,1.6,1.8
8.5,53049,Pacific,2040-2059,0.5,0.8,1.6,2.4,2.8
8.5,53049,Pacific,2080-2099,2.1,3.1,4.8,9.8,12.8
8.5,53051,Pend Oreille,1981-2010,,,4.57,,
8.5,53051,Pend Oreille,2020-2039,6,8,10.4,12.8,15.4
8.5,53051,Pend Oreille,2040-2059,8.1,11,17.6,23.9,26.9
8.5,53051,Pend Oreille,2080-2099,21.8,26.8,38.6,59.4,67
8.5,53053,Pierce,1981-2010,,,0.3,,
8.5,53053,Pierce,2020-2039,0.5,0.7,1.1,1.6,2.5
8.5,53053,Pierce,2040-2059,0.8,1.1,3,4.5,5.2
8.5,53053,Pierce,2080-2099,3.4,5,10.3,21.2,33.7
8.5,53055,San Juan,1981-2010,,,0,,
8.5,53055,San Juan,2020-2039,0,0,0.1,0.1,0.1
8.5,53055,San Juan,2040-2059,0,0,0.1,0.2,0.3
8.5,53055,San Juan,2080-2099,0.1,0.2,1.2,4.2,9.2
8.5,53057,Skagit,1981-2010,,,0.37,,
8.5,53057,Skagit,2020-2039,0.9,1,1.4,1.9,2.6
8.5,53057,Skagit,2040-2059,1.4,1.8,3.9,5.8,7.5
8.5,53057,Skagit,2080-2099,4.7,5.8,14,30.4,38
8.5,53059,Skamania,1981-2010,,,4.2,,
8.5,53059,Skamania,2020-2039,4.6,7.2,8.8,11.4,13.2
8.5,53059,Skamania,2040-2059,7.2,11.3,15.2,22.1,25.1
8.5,53059,Skamania,2080-2099,16.8,23.9,31.4,48.6,59.5
8.5,53061,Snohomish,1981-2010,,,0.73,,
8.5,53061,Snohomish,2020-2039,1.1,1.3,2,2.8,3.6
8.5,53061,Snohomish,2040-2059,1.6,2.5,5,7.4,7.9
8.5,53061,Snohomish,2080-2099,5.8,7.7,15.8,31.9,43.6
8.5,53063,Spokane,1981-2010,,,4.33,,
8.5,53063,Spokane,2020-2039,5.5,7.7,10.6,13.2,15.2
8.5,53063,Spokane,2040-2059,8.4,11.1,19.1,26.9,29.8
8.5,53063,Spokane,2080-2099,21,27.2,40.6,63.2,71
8.5,53065,Stevens,1981-2010,,,12.8,,
8.5,53065,Stevens,2020-2039,9.9,12.9,16.4,20.1,23.6
8.5,53065,Stevens,2040-2059,14.3,17.2,26,34.9,37.5
8.5,53065,Stevens,2080-2099,29.8,36.4,51,71.4,80.8
8.5,53067,Thurston,1981-2010,,,1.2,,
8.5,53067,Thurston,2020-2039,1.4,2,2.5,3,4.5
8.5,53067,Thurston,2040-2059,2.1,3.1,4.8,6.8,8
8.5,53067,Thurston,2080-2099,4.8,7.4,13.8,26.4,36.2
8.5,53069,Wahkiakum,1981-2010,,,1.53,,
8.5,53069,Wahkiakum,2020-2039,1.6,2,2.8,3,3.5
8.5,53069,Wahkiakum,2040-2059,2.4,2.9,4.8,6.5,8
8.5,53069,Wahkiakum,2080-2099,4.3,6.5,10.7,21.1,27.6
8.5,53071,Walla Walla,1981-2010,,,17.57,,
8.5,53071,Walla Walla,2020-2039,19.8,25.1,31.4,35.5,38.5
8.5,53071,Walla Walla,2040-2059,25.3,33.5,41.1,50.2,55.2
8.5,53071,Walla Walla,2080-2099,42.4,56.1,68.8,85.7,96.6
8.5,53073,Whatcom,1981-2010,,,0.43,,
8.5,53073,Whatcom,2020-2039,0.8,0.8,1.3,2,2.5
8.5,53073,Whatcom,2040-2059,1.4,1.6,3.7,5.5,7.4
8.5,53073,Whatcom,2080-2099,4.5,5.2,12.8,27.9,35.2
8.5,53075,Whitman,1981-2010,,,7.47,,
8.5,53075,Whitman,2020-2039,8.2,12.2,16.8,20.4,22.4
8.5,53075,Whitman,2040-2059,13.1,16.6,26.4,34.9,38.6
8.5,53075,Whitman,2080-2099,28.2,39.6,50,73.7,82.8
8.5,53077,Yakima,1981-2010,,,11.43,,
8.5,53077,Yakima,2020-2039,13.2,18.1,23.6,29.1,30.9
8.5,53077,Yakima,2040-2059,18.1,25.2,33.5,45.4,50
8.5,53077,Yakima,2080-2099,33.1,47.3,59.2,80.4,90.5
